v1,v2,v3,v4
11,100,54.5,Particular Subvencionado
48,85.4,60.4,Particular Subvencionado
19,63.2,36.8,Municipal - DAEM
3,66.7,66.7,Particular Subvencionado
20,75,25,Particular Subvencionado
13,92.3,69.2,Particular Subvencionado
12,83.3,33.3,Particular Subvencionado
518,92.1,72.4,Municipal - DAEM
125,80.8,52.8,Municipal - DAEM
239,84.1,60.3,Municipal - DAEM
83,88,67.5,Municipal - DAEM
22,81.8,40.9,Municipal - DAEM
29,100,75.9,Municipal - DAEM
112,76.8,50,Municipal - DAEM
9,100,88.9,Municipal - DAEM
2,100,50,Municipal - DAEM
10,90,60,Municipal - DAEM
2,100,50,Municipal - DAEM
6,100,66.7,Municipal - DAEM
680,80.6,56.8,Particular Subvencionado
4,75,50,Particular Subvencionado
4,100,75,Particular Subvencionado
2,100,100,Particular Subvencionado
3,100,100,Particular Subvencionado
25,100,80,Particular Subvencionado
1,100,100,Particular Subvencionado
6,83.3,83.3,Particular Subvencionado
305,83.3,61,Municipal - DAEM
86,86,61.6,Municipal - DAEM
5,60,40,Municipal - DAEM
2,100,50,Municipal - DAEM
8,87.5,62.5,Municipal - DAEM
2,100,100,Municipal - DAEM
8,100,87.5,Municipal - DAEM
4,100,100,Municipal - DAEM
4,75,75,Municipal - DAEM
250,86,68.4,Municipal - DAEM
3,100,33.3,Municipal - DAEM
23,82.6,82.6,Municipal - DAEM
9,88.9,77.8,Municipal - DAEM
11,81.8,54.5,Municipal - DAEM
5,60,60,Municipal - DAEM
21,90.5,57.1,Municipal - DAEM
4,100,75,Municipal - DAEM
49,95.9,75.5,Municipal - DAEM
62,75.8,41.9,Municipal - DAEM
4,100,75,Municipal - DAEM
7,100,85.7,Municipal - DAEM
12,100,66.7,Municipal - DAEM
9,100,66.7,Municipal - DAEM
17,88.2,76.5,Municipal - DAEM
4,100,50,Municipal - DAEM
4,100,50,Particular Subvencionado
2,100,100,Particular Subvencionado
3,100,100,Particular Subvencionado
461,75.5,50.8,Particular Subvencionado
286,87.8,66.1,Municipal - DAEM
519,89.4,66.3,Municipal - DAEM
140,81.4,65,Municipal - DAEM
241,88,60.2,Municipal - DAEM
5,60,40,Municipal - DAEM
3,100,100,Municipal - DAEM
14,78.6,57.1,Municipal - DAEM
101,82.2,41.6,Municipal - DAEM
16,62.5,31.3,Municipal - DAEM
14,92.9,35.7,Municipal - DAEM
42,83.3,61.9,Municipal - DAEM
80,80,43.8,Municipal - DAEM
19,84.2,63.2,Municipal - DAEM
31,100,71,Municipal - DAEM
41,87.8,36.6,Municipal - DAEM
73,78.1,38.4,Municipal - DAEM
8,75,25,Municipal - DAEM
